qp	pos	id	rep	trayid	row	col	indpop	water	FT.q	FT.date	FT.dif
108	d2	7126	3	36_i_l	d	2	i	l	1	2016-03-14	144
108	d3	9554	3	36_i_l	d	3	i	l	1	2016-03-16	146
108	d4	6202	3	36_i_l	d	4	i	l	0	NA	NA
108	d5	5768	3	36_i_l	d	5	i	l	0	NA	NA
108	d6	7036	3	36_i_l	d	6	i	l	1	2016-04-04	165
108	d7	9736	3	36_i_l	d	7	i	l	0	NA	NA
108	d8	6189	3	36_i_l	d	8	i	l	0	NA	NA
108	e2	9548	3	36_i_l	e	2	i	l	0	NA	NA
108	e3	9597	3	36_i_l	e	3	i	l	0	NA	NA
108	e4	9121	3	36_i_l	e	4	i	l	1	2016-03-29	159
108	e5	7026	3	36_i_l	e	5	i	l	0	NA	NA
108	e6	7092	3	36_i_l	e	6	i	l	0	NA	NA
108	e7	9610	3	36_i_l	e	7	i	l	1	2016-03-09	139
109	a2	9339	3	37_i_l	a	2	i	l	1	2016-03-29	159
109	a3	8365	3	37_i_l	a	3	i	l	1	2016-02-25	126
109	a4	9925	3	37_i_l	a	4	i	l	0	NA	NA
109	a5	9510	3	37_i_l	a	5	i	l	1	2016-02-12	113
109	a6	9522	3	37_i_l	a	6	i	l	1	2016-03-08	138
109	a7	9803	3	37_i_l	a	7	i	l	1	2016-03-08	138
109	b1	8387	3	37_i_l	b	1	i	l	1	2016-03-10	140
109	b2	9843	3	37_i_l	b	2	i	l	1	2016-03-02	132
109	b3	9507	3	37_i_l	b	3	i	l	1	2016-02-12	113
109	b4	9535	3	37_i_l	b	4	i	l	0	NA	NA
109	b5	9739	3	37_i_l	b	5	i	l	1	2016-03-22	152
109	b6	6132	3	37_i_l	b	6	i	l	0	NA	NA
