pathimage	site	totarea	sk	bp	ep	datelabeled	tray	pos	organ	indpop	num
../data/field_tuebingen_harvesting/2016_07_22/P1170633.JPG	tuebingen	285150	58074	3388	352	2017-07-12_15:45:09	105	c4	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170634.JPG	tuebingen	34787	7626	448	42	2017-07-12_15:45:13	105	d6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170635.JPG	tuebingen	135218	28515	572	151	2017-07-12_15:45:15	105	d6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170636.JPG	tuebingen	67316	12909	805	73	2017-07-12_15:45:22	105	c6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170637.JPG	tuebingen	204653	36661	1027	245	2017-07-12_15:45:26	105	c6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170638.JPG	tuebingen	18173	4565	592	24	2017-07-12_15:45:31	105	b3	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170639.JPG	tuebingen	301853	51085	4866	337	2017-07-12_15:45:33	105	b3	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170640.JPG	tuebingen	11837	3173	146	17	2017-07-12_15:45:37	105	b6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170641.JPG	tuebingen	117699	24583	1072	93	2017-07-12_15:45:39	105	b6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170642.JPG	tuebingen	73358	13435	1266	117	2017-07-12_15:45:44	105	a2	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170643.JPG	tuebingen	195117	41937	2965	352	2017-07-12_15:45:53	105	a2	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170644.JPG	tuebingen	95346	16964	1779	144	2017-07-12_15:46:25	105	a7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170645.JPG	tuebingen	281773	50911	3061	433	2017-07-12_15:46:27	105	a7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170646.JPG	tuebingen	76343	15559	660	61	2017-07-12_15:46:29	105	b8	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170647.JPG	tuebingen	281950	52089	6028	208	2017-07-12_15:46:33	105	b8	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170648.JPG	tuebingen	118121	22868	4469	108	2017-07-12_15:46:41	105	b5	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170649.JPG	tuebingen	304707	59314	5164	230	2017-07-12_15:46:44	105	b5	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170650.JPG	tuebingen	27736	5209	441	64	2017-07-12_15:46:47	105	a3	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170651.JPG	tuebingen	151184	32130	3220	198	2017-07-12_15:46:50	105	a3	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170652.JPG	tuebingen	57696	14011	2524	92	2017-07-12_16:38:57	105	b1	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170653.JPG	tuebingen	182532	40735	823	280	2017-07-12_16:38:59	105	b1	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170654.JPG	tuebingen	45132	8436	566	44	2017-07-12_16:39:01	105	a4	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170655.JPG	tuebingen	219086	38951	1265	202	2017-07-12_16:39:02	105	a4	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170656.JPG	tuebingen	38099	7200	505	72	2017-07-12_16:39:05	105	a5	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170657.JPG	tuebingen	318212	60793	3199	467	2017-07-12_16:39:07	105	a5	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170658.JPG	tuebingen	61858	11334	171	46	2017-07-12_16:39:11	331	e6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170659.JPG	tuebingen	207491	41629	2963	213	2017-07-12_16:39:13	331	e6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170660.JPG	tuebingen	273423	40352	5095	262	2017-07-12_16:39:15	331	c8	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170661.JPG	tuebingen	338232	51758	918	358	2017-07-12_16:39:17	331	c8	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170662.JPG	tuebingen	319137	54712	8792	280	2017-07-12_16:39:23	331	c6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170663.JPG	tuebingen	287773	60730	9434	278	2017-07-12_16:39:26	331	c6	i	i	NA
