id	name	country	latitude	longitude	kgroup
9524	IP-Ber-0	ESP	42.52	-0.56	10
9525	IP-Bis-0	ESP	42.49	0.54	10
9526	IP-Cab-3	ESP	41.54	2.39	10
9527	IP-Cad-0	ESP	40.37	-5.74	4
9528	IP-Cal-0	ESP	40.94	-1.37	10
9529	IP-Cap-1	ESP	36.97	-3.36	10
9530	IP-Car-1	ESP	38.25	-4.32	5
9531	IP-Cdc-3	ESP	41.21	-4.54	4
9532	IP-Cdo-0	ESP	42.23	-4.64	4
9533	IP-Cem-0	ESP	41.15	-4.32	5
9534	IP-Cmo-3	ESP	40.05	-4.65	4
9535	IP-Coc-1	ESP	42.31	3.19	10
9536	IP-Cor-0	ESP	40.83	-2	10
9537	IP-Cum-1	ESP	38.07	-6.66	8
9539	IP-Deh-1	ESP	40.29	-6.67	4
9540	IP-Elb-0	ESP	41.81	2.34	10
9541	IP-Fue-2	ESP	38.26	-5.42	8
9542	IP-Fun-0	ESP	40.79	-4.05	5
9543	IP-Gra-0	ESP	36.77	-5.39	5
9544	IP-Gua-1	ESP	39.4	-5.33	8
9545	IP-Her-12	ESP	39.4	-5.78	5
9546	IP-Hom-4	ESP	40.82	-1.68	10
9547	IP-Hor-0	ESP	41.67	2.62	10
9548	IP-Hoy-0	ESP	40.4	-5	4
9549	IP-Hum-2	ESP	42.23	-3.69	5
9551	IP-Jim-1	ESP	42.28	-5.92	4
9553	IP-Ldd-0	ESP	41.58	-4.71	4
9554	IP-Lso-0	ESP	38.86	-3.16	5
9555	IP-Mar-1	ESP	39.58	-3.93	5
9556	IP-Men-2	ESP	39.66	-4.34	4
9557	IP-Moa-0	ESP	42.46	0.7	10
9558	IP-Moc-11	ESP	41.57	-5.64	4
9559	IP-Mon-5	ESP	38.06	-4.38	4
9560	IP-Mot-0	ESP	38.19	-6.24	8
9561	IP-Mun-0	ESP	40.71	-5.04	4
9562	IP-Mur-0	ESP	41.67	2	10
9564	IP-Nog-17	ESP	40.45	-1.6	10
9565	IP-Orb-10	ESP	42.97	-1.23	10
9567	IP-Pal-0	ESP	42.34	1.3	10
9569	IP-Pds-1	ESP	42.87	-6.45	4
9571	IP-Pro-0	ESP	43.28	-6.01	1
9573	IP-Rds-0	ESP	41.86	2.99	10
9574	IP-Rel-0	ESP	38.6	-2.7	4
9576	IP-Rev-0	ESP	40.86	-4.11	4
9577	IP-Ria-0	ESP	42.34	2.17	10
9578	IP-Sac-0	ESP	42.13	-6.7	4
9579	IP-San-10	ESP	38.33	-3.51	4
9581	IP-Sdv-3	ESP	42.84	-5.12	4
9582	IP-Ses-0	ESP	41.48	-1.63	10
9583	IP-Sne-0	ESP	37.09	-3.38	5
9584	IP-Stp-0	ESP	41.19	-3.58	4
9585	IP-Svi-0	ESP	43.4	-7.39	4
9586	IP-Tam-0	ESP	41.03	-3.27	4
9587	IP-Tdc-0	ESP	41.5	-1.88	4
9588	IP-Tol-7	ESP	42.11	0.6	10
9589	IP-Tor-1	ESP	41.6	-2.83	4
9590	IP-Trs-0	ESP	43.37	-5.49	4
9591	IP-Vad-0	ESP	42.86	-3.59	4
9593	IP-Vaz-0	ESP	42.26	-2.99	10
9594	IP-Vdm-0	ESP	42.04	1.01	10
9595	IP-Vdt-0	ESP	40.89	-5.5	4
9596	IP-Ver-5	ESP	41.95	-7.45	4
9597	IP-Vig-1	ESP	42.31	-2.53	4
9598	IP-Vim-0	ESP	41.88	-6.51	5
9599	IP-Vin-0	ESP	42.8	-5.77	4
9600	IP-Vis-0	ESP	39.85	-6.04	5
9601	IP-Voz-0	ESP	41.85	-1.88	10
9602	IP-Vpa-1	ESP	40.5	-3.96	4
9606	Aitba-1	MAR	31.48	-7.45	5
9609	Adam-1	RUS	51.41	59.98	7
9610	Lesno-4	RUS	53.04	51.96	7
9611	Lesno-1	RUS	53.04	51.9	7
9612	Lesno-2	RUS	53.04	51.94	7
9615	Parti-1	RUS	52.99	52.16	7
9616	Krazo-1	RUS	53.06	51.96	7
9619	Basta-1	RUS	51.84	79.48	7
9622	Bijisk-4	RUS	52.52	85.27	2
9625	Kolyv-2	RUS	51.31	82.59	7
9626	Kolyv-3	RUS	51.36	82.59	7
9629	K-oze-1	RUS	51.35	82.18	7
9630	K-oze-3	RUS	51.34	82.16	7
9631	Lebja-1	RUS	51.65	80.79	7
9632	Lebja-2	RUS	51.67	80.82	7
9634	Masl-1	RUS	54.13	81.31	7
9635	Nosov-1	RUS	51.87	80.6	7
9636	Noveg-1	RUS	51.75	80.82	7
9637	Noveg-2	RUS	51.77	80.85	7
9638	Noveg-3	RUS	51.73	80.86	7
9640	Rakit-1	RUS	51.87	80.06	7
9641	Rakit-2	RUS	51.9	80.06	7
9642	Rakit-3	RUS	51.84	80.06	7
9643	Sever-1	RUS	52.1	79.31	7
9644	Zupan-1	CRO	45.07	18.72	2
9645	Gradi-1	CRO	45.17	18.7	2
9647	Basen-1	ITA	40.37	16.77	8
9649	Bivio-1	ITA	39.13	16.17	8
9651	Filet-1	ITA	40.68	14.87	8
9653	Giffo-1	ITA	38.44	16.13	8
9656	Marti-1	ITA	40.64	17.31	8
9657	Melic-1	ITA	38.45	16.04	8
9659	Pigna-1	ITA	41.18	14.18	8
9660	Sarno-1	ITA	40.84	14.57	8
9661	Cimin-1	ITA	39.58	16.21	8
9663	Teano-1	ITA	41.33	14.09	8
9697	Dolen-1	BUL	41.62	23.94	8
9698	Goced-1	BUL	41.57	23.85	8
9699	Kolar-1	BUL	41.37	23.14	8
9701	Ivano-1	BUL	43.7	25.91	8
9705	Choto-1	BUL	41.5	23.33	8
9706	Dospa-1	BUL	41.64	24.18	8
9707	Podvi-1	BUL	41.57	24.84	8
9708	Kardz-1	BUL	41.62	25.35	8
9713	Stara-1	BUL	42.49	25.61	8
9714	Grivo-1	BUL	41.84	25.75	8
9716	Leska-1	BUL	41.54	24.98	8
9717	Kardz-2	BUL	41.66	25.47	8
9718	Smolj-1	BUL	41.55	24.75	8
9719	Koren-1	BUL	41.83	25.69	8
9720	Malak-1	BUL	41.77	25.68	8
9722	Groch-1	BUL	41.71	24.41	8
9723	Slavi-2	BUL	41.42	23.67	8
9725	Epidauros-1	GRC	37.6	23.08	8
9726	Faneronemi-3	GRC	37.07	22.04	8
9732	Halca-1	SVK	48.47	18.96	2
9736	Teiu-2	ROU	44.69	25.17	7
9737	Ulies-1	ROU	45.95	22.62	7
9738	Bran-1	ROU	45.57	25.42	2
9739	Toc-1	ROU	46.01	22.33	2
9741	Orast-1	ROU	45.84	23.16	2
9743	Furni-1	ROU	45.14	25	7
9744	Iasi-1	ROU	47.16	27.59	2
9747	Zabar-1	SRB	44.38	21.22	2
9748	Zagub-1	SRB	44.23	21.71	2
9749	Knjas-1	SRB	43.54	22.29	8
9754	Sredn-1	SRB	44.66	21.37	2
9755	Vajug-1	SRB	44.56	22.56	8
9758	Altai-5	CHN	47.75	88.4	7
9759	Anz-0	IRN	37.47	49.47	8
9761	Bik-1	LBN	33.92	35.7	2
9762	Etna-2	ITA	37.69	14.98	5
9764	Qar-8a	LBN	34.1	35.84	5
9766	Westkar-4	KGZ	42.26	74.16	7
9769	HE-1	GER	48.55	8.99	2
9771	Pfn-N2.2-6	GER	48.56	9.11	2
9772	Höf-1	GER	48.41	8.85	2
9774	Alt-1	GER	48.59	9.22	2
9775	Berg-1	GER	48.41	8.79	2
9777	Gn-1	GER	48.57	9.17	2
9779	Bai-10	GER	48.5	8.78	2
9781	Kus2-2	GER	48.52	9.11	2
9782	Lu3-30	GER	48.53	9.09	2
9784	Erg2-6	GER	48.5	8.8	2
9787	HI-4	GER	48.5	9	2
9789	Obh-13	GER	48.39	8.96	2
9790	Gn2-3	GER	48.58	9.18	2
9791	Haes-1	GER	48.6	9.2	2
9795	Wank-2	GER	48.5	9.11	2
9799	Hart-2	GER	48.39	8.85	2
9802	Kus3-1	GER	48.51	9.11	2
9803	Müh-2	GER	48.42	8.76	2
9804	Obe1-15	GER	48.45	8.87	2
9807	Schl-7	GER	48.6	9.22	2
9810	Tü-KS-7	GER	48.53	9.07	2
9812	Tü-W1	GER	48.52	9.03	2
9813	BI-4	GER	48.4	8.77	2
9814	Fell1-10	GER	48.42	8.79	2
9817	Ace-0	ESP	39.84	-6.6	4
9819	Amu-0	ESP	42.35	-3.03	4
9820	Are-0	ESP	41	-4.71	4
9821	Aru-0	ESP	41.81	2.49	10
9822	Aul-0	ESP	40.52	-4.02	4
9823	Bae-0	ESP	43.34	-5.84	1
9825	Boa-0	ESP	40.4	-3.88	4
9826	Bor-0	ESP	42.49	-6.71	4
9827	Bos-0	ESP	42.78	0.69	9
9828	Bra-0	ESP	42.5	-6.15	4
9830	Bus-0	ESP	36.97	-3.28	4
9831	Cas-0	ESP	38.54	-3.39	4
9832	Cat-0	ESP	40.54	-3.69	5
9833	Cha-0	ESP	40.38	-4.21	4
9834	Cho-0	ESP	40.51	-3.9	4
9835	Cir-0	ESP	40.61	-6.57	4
9836	Cod-0	ESP	41.25	-1.32	10
9837	Con-0	ESP	37.94	-5.6	5
9838	Cot-0	ESP	41.83	-5.38	4
9839	Coy-0	ESP	40.44	-4.27	4
9840	Dar-0	ESP	41.13	-1.43	10
9841	Ees-0	ESP	40.59	-4.15	4
9843	Elp-0	ESP	40.53	-3.92	4
9845	Evs-0	ESP	40.48	-3.96	4
9846	Ezc-2	ESP	42.31	-3.02	4
9847	Fel-2	ESP	43.31	-5.7	1
9848	Glo-1	ESP	40.11	-5.77	4
9849	Gud-3	ESP	40.65	-4.11	4
9850	Hec-0	ESP	42.86	-0.7	10
9852	Ini-0	ESP	40.46	-3.75	4
9853	Lac-0	ESP	43.33	-5.91	1
9854	Laf-1	ESP	43.36	-5.88	1
9855	Lam-0	ESP	40.57	-3.89	4
9866	Mdd-0	ESP	41.89	-2.79	10
9867	Mie-1	ESP	40.94	-3.22	4
9868	Moe-0	ESP	41.78	2.37	10
9869	Moj-0	ESP	36.76	-5.28	5
9870	Moz-0	ESP	41.91	0.17	10
9871	Nac-0	ESP	40.75	-3.99	5
9873	Ndc-0	ESP	37.94	-5.45	8
9874	Oja-0	ESP	42.34	-3	4
9875	Ovi-1	ESP	43.38	-5.87	1
9876	Pad-0	ESP	41.34	0.99	10
9878	Pee-0	ESP	40.78	-3.62	10
9879	Per-0	ESP	37.6	-1.12	5
9880	Pib-1	ESP	42.72	-3.44	10
9881	Pie-0	ESP	40.46	-5.32	4
9882	Pil-0	ESP	40.46	-4.26	4
9883	Piq-0	ESP	42.1	-2.56	4
9885	Prd-0	ESP	41.14	-3.68	4
9886	Pru-0	ESP	42.38	1.73	10
9887	Pun-0	ESP	40.4	-4.77	5
9888	Pva-1	ESP	40.93	-3.31	10
9890	Rib-1	ESP	43.16	-5.07	4
9891	Sal-0	ESP	41.93	2.92	10
9892	Sam-0	ESP	42.68	-6.96	4
9894	Sen-0	ESP	42.59	0.76	10
9895	Sfb-6	ESP	41.78	2.57	10
9897	Smt-1	ESP	40.95	-5.63	4
9898	Som-0	ESP	41.14	-3.58	4
9899	Tau-0	ESP	42.54	0.84	10
9900	Tri-0	ESP	37.38	-6.01	8
9901	Urd-1	ESP	42.27	-2.98	10
9902	Usa-0	ESP	40.71	-3.24	10
9903	Val-0	ESP	42.31	-3.1	4
9904	Vas-0	ESP	40.95	-3.31	4
9905	Ven-0	ESP	40.76	-4.01	5
9906	Mah-6	ESP	40	4.25	10
9910	BRI-2	FRA	50.68	3.52	1
9915	04/03/2016	FRA	47.45	3.94	2
9918	SAUL-24	FRA	47.43	5.21	9
9920	DIR-9	FRA	48.54	4.32	1
9924	PLY-20	FRA	48.59	4.24	9
9925	RUM-20	FRA	48.91	4.52	1
9927	ARR-17	FRA	44.05	3.69	1
9928	BEZ-9	FRA	44.12	3.77	9
9933	VED-10	FRA	43.74	3.89	7
9935	BAU-15	FRA	50.6	2.93	9
9937	CATS-6	FRA	50.79	2.69	1
9938	WAV-8	FRA	50.65	2.99	1
9941	Fei-0	POR	40.92	-8.54	NA
9944	Don-0	ESP	36.83	-6.36	5
9947	Ped-0	ESP	40.74	-3.9	5
9992	Dog-4	TUR	38.3	42.22	NA
10006	Kastel-1	UKR	44.64	34.38	NA
10014	Xan-1	AZE	38.65	48.8	NA
10020	Jl-2	CZE	49.17	16.5	2
1	Col-0	LABORATORY	NA	NA	NA
2	Ler-1	LABORATORY	NA	NA	NA
