pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num
../data/field_madrid_harvesting/2016_503/P1130169.JPG,madrid,169985,23643,463,112,Rocio,102,b6,i,i,1
../data/field_madrid_harvesting/2016_503/P1130179.JPG,madrid,59079,3689,142,53,Rocio,102,c8,i,i,1
../data/field_madrid_harvesting/2016_503/P1130183.JPG,madrid,173073,23684,514,49,Rocio,114,b2,i,i,1
../data/field_madrid_harvesting/2016_503/P1130185.JPG,madrid,84783,6004,194,60,Rocio,114,b5,i,i,1
../data/field_madrid_harvesting/2016_503/P1130190.JPG,madrid,157128,11620,466,130,Rocio,114,c3,i,i,1
../data/field_madrid_harvesting/2016_503/P1130192.JPG,madrid,99944,8722,470,91,Rocio,114,c6,i,i,1
../data/field_madrid_harvesting/2016_503/P1130194.JPG,madrid,173684,24250,604,93,Rocio,114,c7,i,i,1
../data/field_madrid_harvesting/2016_503/P1130196.JPG,madrid,240274,26196,1099,222,Rocio,114,e3,i,i,1
../data/field_madrid_harvesting/2016_503/P1130197.JPG,madrid,69225,11843,244,25,Rocio,114,e5,r,i,1
../data/field_madrid_harvesting/2016_503/P1130204.JPG,madrid,95075,15560,416,36,Rocio,101,a7,i,i,1
../data/field_madrid_harvesting/2016_503/P1130212.JPG,madrid,135955,19453,489,63,Rocio,101,b7,i,i,1
../data/field_madrid_harvesting/2016_503/P1130214.JPG,madrid,203430,28940,671,85,Rocio,101,b8,i,i,1
../data/field_madrid_harvesting/2016_503/P1130218.JPG,madrid,179315,25871,540,90,Rocio,101,d1,i,i,1
../data/field_madrid_harvesting/2016_503/P1130222.JPG,madrid,70386,4389,166,60,Rocio,101,d7,i,i,1
../data/field_madrid_harvesting/2016_503/P1130224.JPG,madrid,88032,6502,270,62,Rocio,101,d8,i,i,1
../data/field_madrid_harvesting/2016_503/P1130226.JPG,madrid,150531,24398,556,65,Rocio,113,b6,i,i,1
../data/field_madrid_harvesting/2016_503/P1130228.JPG,madrid,168743,13499,767,164,Rocio,113,c8,i,i,1
../data/field_madrid_harvesting/2016_503/P1130230.JPG,madrid,57962,3329,122,61,Rocio,113,d2,i,i,1
../data/field_madrid_harvesting/2016_503/P1130232.JPG,madrid,137731,18744,644,97,Rocio,113,d6,i,i,1
../data/field_madrid_harvesting/2016_503/P1130234.JPG,madrid,30087,1685,67,37,Rocio,113,e2,i,i,1
../data/field_madrid_harvesting/2016_503/P1130236.JPG,madrid,147019,23045,705,61,Rocio,100,a6,i,i,1
../data/field_madrid_harvesting/2016_503/P1130238.JPG,madrid,193374,32515,903,92,Rocio,100,b2,i,i,1
../data/field_madrid_harvesting/2016_503/P1130240.JPG,madrid,166908,24308,566,71,Rocio,100,b3,i,i,1
../data/field_madrid_harvesting/2016_503/P1130242.JPG,madrid,107361,7356,382,146,Rocio,100,b4,i,i,1
../data/field_madrid_harvesting/2016_503/P1130243.JPG,madrid,191185,24187,433,85,Rocio,100,b5,r,i,1
../data/field_madrid_harvesting/2016_503/P1130244.JPG,madrid,27417,1691,116,48,Rocio,100,b5,i,i,1
../data/field_madrid_harvesting/2016_503/P1130248.JPG,madrid,153621,12050,517,141,Rocio,100,d8,i,i,1
../data/field_madrid_harvesting/2016_503/P1130250.JPG,madrid,165864,25492,809,94,Rocio,112,a2,i,i,1
../data/field_madrid_harvesting/2016_503/P1130253.JPG,madrid,178159,26421,552,89,Rocio,112,b1,i,i,1
../data/field_madrid_harvesting/2016_503/P1130255.JPG,madrid,179534,29551,814,107,Rocio,112,d8,i,i,1
../data/field_madrid_harvesting/2016_503/P1130259.JPG,madrid,50783,3621,170,40,Rocio,99,a2,i,i,1
../data/field_madrid_harvesting/2016_503/P1130261.JPG,madrid,173649,15027,691,122,Rocio,99,a4,i,i,1
../data/field_madrid_harvesting/2016_503/P1130263.JPG,madrid,132755,20298,411,58,Rocio,99,a7,i,i,1
../data/field_madrid_harvesting/2016_503/P1130266.JPG,madrid,119311,7253,279,97,Rocio,99,c3,i,i,1
