mean DTF1	sd	count	mean DTF2	sd	count	mean DTF3	sd	count	mean RL	sd	count	mean CL	sd	count	Ecotype_id
86.25	9.10585892	4	91.75	9.639329161	4	100	10.03327796	4	78	11.13552873	3	16.25	0.5	4	992
73	3.829708431	4	77	5.099019514	4	87.5	1.732050808	4	64.5	6.8556546	4	19.5	3.415650255	4	997
79.75	0.5	4	84.75	1.707825128	4	86.25	1.707825128	4	77.75	5.560275773	4	13	2.943920289	4	1002
81.75	3.685557398	4	86.5	4.123105626	4	94.75	2.5	4	55.66666667	8.386497084	3	24.5	1.914854216	4	1061
57.5	1	4	61.5	1.732050808	4	68.25	2.5	4	48.25	7.410578025	4	17	1	3	1062
51.75	3.862210075	4	55.75	3.403429643	4	64.25	2.217355783	4	38.5	1.290994449	4	11.25	0.957427108	4	1063
NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	1066
81.75	26.17091261	4	86	25.98717632	4	90.75	26.00480725	4	50.66666667	5.033222957	3	8.333333333	2.309401077	3	1074
98.33333333	18.17507451	3	103.3333333	18.17507451	3	107.6666667	18.58314649	3	51	NA	1	13.33333333	2.886751346	3	1137
70.5	3.31662479	4	76.25	3.304037934	4	88	6.218252702	4	48	4.358898944	3	17	2	3	1158
93	13.85640646	3	98	14.73091986	3	106	16.64331698	3	42	NA	1	12	0	3	1254
81.75	10.78192933	4	86.25	11.1467484	4	93.25	10.65754819	4	50.33333333	3.785938897	3	9.25	2.5	4	1257
88	1	3	92.33333333	2.309401077	3	102	3	3	48.33333333	2.886751346	3	12	2	3	1317
107.75	18.99780689	4	114	17.79513042	4	123	19.5192213	3	NA	NA	0	11	2.828427125	2	1318
85	12.80624847	4	93.75	11.72959221	4	96	12.88409873	4	61	6	3	9	1.732050808	3	1363
79.5	5.196152423	4	85.75	3.774917218	4	88.75	3.593976442	4	56.25	12.99679448	4	17.5	1.290994449	4	1367
37.33333333	1.154700538	3	44.33333333	0.577350269	3	45.66666667	0.577350269	3	22.33333333	0.577350269	3	7.333333333	0.577350269	3	1435
102.3333333	18.00925688	3	108.3333333	19.50213664	3	115.3333333	17.61628035	3	96	NA	1	14	0	2	1552
92.25	11.81453907	4	97	11.74734012	4	103.25	13.1497782	4	42.33333333	14.43375673	3	10.33333333	1.527525232	3	1585
40.33333333	1.154700538	3	47.66666667	1.154700538	3	53.66666667	2.081665999	3	22.66666667	2.886751346	3	5	0	3	5829
