id,FT10_mean,FT10_sd,FT16_mean,FT16_sd,seq_by,name,country,sitename,latitude,longitude,collector,collectiondate,CS_number,group,relict,icon
6034,102.75,12.816005618,80.5,3.535533906,GMI,Hov1-7,SWE,Hov1,56.1,13.74,Magnus Nordborg,2000-05-12 00:00:00,CS76932,south_sweden,,red_circle
6035,83,2.9439202888,73.75,3.304037934,GMI,Hov1-10,SWE,Hov1,56.1,13.74,Magnus Nordborg,2000-05-12 00:00:00,CS76931,south_sweden,,red_circle
6036,94.25,8.2613558209,86.33333333,6.806859286,GMI,Hov3-2,SWE,Hov3,56.1,13.74,Magnus Nordborg,2000-05-12 00:00:00,CS76934,south_sweden,,red_circle
6038,91.25,6.6520673478,77.25,8.770214745,GMI,Hov3-5,SWE,Hov3,56.1,13.74,Magnus Nordborg,2000-05-12 00:00:00,CS76935,south_sweden,,red_circle
6039,91,23.3666428911,62,7.071067812,GMI,Hovdala-2,SWE,Hovdala,56.1,13.74,Torbjorn Sall,1999-01-01 00:00:00,CS76937,admixed,,forbidden
6040,93.25,4.5734742447,82.5,7.778174593,GMI,Kni-1,SWE,Kni1,55.66,13.4,Magnus Nordborg,2001-06-05 00:00:00,CS76970,south_sweden,,red_circle
6041,78.75,9.1787798753,51.5,1.732050808,GMI,Lis-3,SWE,Lis,56.0328,14.775,Magnus Nordborg,2000-06-13 00:00:00,CS77044,south_sweden,,red_circle
6042,63.5,3.5355339059,43,2.309401077,GMI,Lom1-1,SWE,Lom1,56.09,13.9,Magnus Nordborg,2001-05-14 00:00:00,CS77048,admixed,,forbidden
6043,110,5.5677643628,130.6666667,6.506407099,GMI,Löv-1,SWE,Löv,62.801,18.079,Magnus Nordborg,2000-06-25 00:00:00,CS77049,north_sweden,,orange_circle
6046,117.25,4.9244289009,117,NA,GMI,Löv-5,SWE,Löv,62.801,18.079,Magnus Nordborg,2000-06-25 00:00:00,CS77050,north_sweden,,orange_circle
6064,103.6666666667,7.3711147958,129.5,13.43502884,GMI,Nyl-2,SWE,Nyl,62.9513,18.2763,Magnus Nordborg,2000-06-25 00:00:00,CS77136,north_sweden,,orange_circle
6069,107.25,8.5391256383,139,NA,GMI,Nyl-7,SWE,Nyl,62.9513,18.2763,Magnus Nordborg,2000-06-25 00:00:00,CS77137,north_sweden,,orange_circle
6070,106.75,7.3654599313,119.3333333,3.214550254,GMI,Omn-1,SWE,Omn,62.9308,18.3448,Magnus Nordborg,2000-06-25 00:00:00,CS77145,north_sweden,,orange_circle
6071,120.75,6.6520673478,139.5,3.535533906,GMI,Omn-5,SWE,Omn,62.9308,18.3448,Magnus Nordborg,2000-06-25 00:00:00,CS77146,north_sweden,,orange_circle
6073,102.25,3.5939764421,96.5,3.31662479,GMI,ÖMö1-7,SWE,ÖMö1,56.1481,15.8155,Magnus Nordborg,2001-06-09 00:00:00,CS77147,south_sweden,,red_circle
6074,101,1.4142135624,85.75,12.91962332,GMI,Ör-1,SWE,Örrevet,56.4573,16.1308,Magnus Nordborg,2000-06-13 0:00:00,CS77150,south_sweden,,red_circle
6076,121.5,1.7320508076,110.5,19.12241268,GMI,Rev-2,SWE,Rev2,55.6942,13.4504,Magnus Nordborg,1999-05-16 00:00:00,CS77215,south_sweden,,red_circle
6085,124.25,16.3375844808,128,15.55634919,GMI,Sparta-1,SWE,Sparta (Student corridor),55.7097,13.2145,Magnus Nordborg,2003-01-01 00:00:00,CS77260,south_sweden,,red_circle
6086,100.5,5.1961524227,100.75,4.573474245,GMI,Sr:3,SWE,Sr,58.9,11.2,Ivo Cetl,1992-07-01 00:00:00,CS77267,admixed,,forbidden
