accessionid;idFlat;Pot_position;Pot_row;Pot_column;Flat_position_16LD;T_germ;T_inf;T_repro;PostInf_duration;nSiliques;RosetteArea;RosetteDM;InfloDM;RootDM;ShootAlloc;RootAlloc;ReproAlloc;LUEinf;FvFm_mean;FvFm_sd;FvFm_median;FvFm_S;FvFm_Wmax;RAinf;ERinf;RERinf;DMinf;GRinf;RGRinf
6043;F27;E1;E;1;H_4_r;9;43.9743141;104;60.0256859;38;85.26385696;1381.82;1139.6;738.004407;42.39460185;22.64216975;34.9632284;2.723154958;0.841145275;0.066979244;0.843137;0.355128104;0.6752081;21.31596424;4.435203533;104.0347854;690.91;58.04667371;84.01481193
6069;F16;B6;B;6;H_2_r;7;42.82188125;89;46.17811875;34;124.0717721;1948.28;473.93;651.540377;63.38445746;21.19691898;15.41862357;2.945602898;0.829161933;0.089573139;0.835294;0.439053941;0.48261169;31.01794303;6.27257708;101.1120737;974.14;91.36654287;93.7920041
6069;F31;D2;D;2;F_2_l;10;48.52204356;111;62.47795644;18;49.51804284;2592.64;827.35;863.82622;60.52173732;20.16487579;19.31338688;8.734860275;0.840991373;0.070392074;0.843137;0.332523533;0.747199846;12.37951071;2.712642604;109.5617859;1296.32;108.1332963;83.41558899
6071;F10;A1;A;1;C_1_r;8;42.37715441;91;48.62284559;62;87.65512123;1271.99;663.21;453.173118;53.25759156;18.97413409;27.76827435;2.754305207;0.829767044;0.079113437;0.835294;0.539437365;0.830926748;21.91378031;3.923920143;89.53088167;635.995;60.3572392;94.90206558
6071;F25;A3;A;3;G_1_m;9;35.29122986;87;51.70877014;72;120.7125926;1074.77;895.45;576.833619;42.19659892;22.64709367;35.1563074;1.926132492;0.838679939;0.075776807;0.843137;0.335354802;0.722621415;30.17814815;6.360598298;105.3841718;537.385;58.12711171;108.1666063
6073;F16;C9;C;9;H_2_r;8;39.61848792;95;55.38151208;na;135.7390918;1234.52;672.81;567.008277;49.89293548;22.9155521;27.19151242;1.739374121;0.83307167;0.08286454;0.839216;0.402326201;0.621596015;33.93477295;7.189514263;105.9313742;617.26;59.02526588;95.62464096
6073;F26;B2;B;2;D_3_m;5;37.87792283;78;40.12207717;161;125.6797675;1136.43;626.42;416.968819;52.13414941;19.12859983;28.73725075;1.797631361;0.836945672;0.079319649;0.843137;0.365944664;0.716220518;31.41994188;6.508509656;103.5729105;568.215;56.48147287;99.40158721
6074;F12;D10;D;10;H_1_l;10;30.72071624;99;68.27928376;56;135.5353476;1935.23;377.95;578.408321;66.92619368;20.00313519;13.07067113;4.455132357;0.828985196;0.078689437;0.835294;0.542216821;0.801718963;33.8838369;7.632922892;112.633686;967.615;150.9569782;156.0093406
6074;F25;E3;E;3;G_1_m;9;30.83393636;88;57.16606364;58;121.390672;1476.5;411.08;591.349182;59.56200809;23.85502524;16.58296667;3.487268234;0.832968519;0.082320178;0.839216;0.493243615;0.650963655;30.347668;6.958243646;114.6421472;738.25;105.8304586;143.3531441
6076;F4;F6;F;6;D_2_m;6;25.07404209;87;61.92595791;na;83.81394213;278.4;1326.4;663.152546;12.27538912;29.24014205;58.48446884;0.858150734;0.831104066;0.081586529;0.835294;0.194688173;0.793603984;20.95348553;4.786396415;114.2148023;139.2;17.981249;129.1756394
